,fr,en
TITRE,L’Assemblée des Décomposeurs,The Assembly of Decomposers
LANGUE,English?,Français ?
NOUVEAU,Nouvelle session,New session
CONTINUER,Reprendre,Continue
CREDITS,Crédits,Credits
JOUER_M,Jouer la musique ?,Play music?
COUPER_M,Couper la musique ?,Cut music?
JOUER_B,Jouer les bruitages ?,Play sound effects?
COUPER_B,Couper les bruitages ?,Cut sound effect?
INTRO00,"L’Assemblée des Décomposeurs s’est exprimée, Acarien sera le nouveau modérateur.",The Assembly of Decomposers has spoken: Mite will be the new moderator.
INTRO01,Mes bien chères espèces. Voilà trois cents cycles solaires que la Grande Extinction que nos ancêtres appelaient de leurs vœux a eu lieu.,"My dear species. Three hundred solar cycles ago, the great extinction that our ancestors eagerly awaited took place."
INTRO02,"Elle s’est produite un peu trop tard pour beaucoup d’entre nous, mais c’est le résultat qui compte.","It happened a little too late for many of us, but what matters is the outcome."
INTRO03,C’est pour commémorer cette extinction que nous nous sommes rassemblés aujourd’hui.,We have gathered here today to commemorate this extinction.
INTRO04,Vous m’avez choisi comme modérateur pour cette session…,You have chosen me as moderator of this session…
INTRO05,Clap clap !,Clap clap!
INTRO06,Bravo !,Bravo !
INTRO07,"Vous m’avez choisi comme modérateur pour cette session sur le thème ‘Achever la Grande Extinction’, et je vous en remercie.","You've chosen me as moderator of this session, which is focusing on the topic of ‘Ending the Great Extinction’, and I must thank you for that."
INTRO08,Un très bref récapitulatif avant de donner la parole aux intervenants.,"Before handing over to the speakers, here is a brief summary."
INTRO09,"La Grande Extinction a emporté 99 pour cent des humains. Il en reste encore quelques-uns, sur le grand ensemble rouge ou près des terres gelées.","The Great Extinction wiped out 99 percent of humans. A few remain, on the great red landmass or near the frozen lands."
INTRO10,"Mais, ne désespérons pas. Après tout, et c’est un des objectifs de cette session, notre belle planète sera bientôt débarrassée de ces immondes parasites.","But let’s not despair. After all, one of the aims of this assembly is to rid our beautiful planet of these filthy parasites."
INTRO11,Je vous avais dit que ce serait bref.,"I told you it would be short, didn't I ?"
INTRO12,"Bien, deux exposés semblaient appropriés pour commencer.","Well, two talks seemed appropriate to start with."
INTRO13,"Lombric souhaite nous faire un récapitulatif historique, Cloporte veut nous dresser un état de la planète.","Earthworm would like to give us a historical overview, while Woodlouse has prepared a report on the current state of the planet."
INTRO14,Par quoi commencer ?,Where should we start?
INTRO15,La leçon d’histoire de Lombric.,Earthworm's history lesson.
INTRO16,La leçon de géographie de Cloporte.,Woodlouse's geography lesson.
INTRO17,"On connaît tout ça, place aux actes !","We know all that, now it's time for action!"
HISTOIRE00,"Lombric, ","Earthworm, "
HISTOIRE01,"Clap, clap.","Clap, clap."
HISTOIRE02,"Lombric, à vous la parole.","Earthworm, over to you."
HISTOIRE03,"Mais, l’intervention de Cloporte ayant légèrement débordé, je vous demande de passer les premiers temps humains, et de commencer directement il y a 500 cycles solaires.","However, as Woodlouse's intervention has slightly overrun, could you skip the early human history and start directly 500 solar cycles ago?"
HISTOIRE04,"Racontez-nous l’histoire des humains depuis les premiers temps. Mais, pensez aux plus sensibles d’entre nous et tâchez de rester factuel.","Tell us the human story from the early days. But, consider the more sensitive among us and try to remain factual."
FEU00,"Je… Je…, Acarien, que voulez-vous dire par là ? Je…","I... I..., Mite, what exactly do you mean? I..."
FEU01,"Lombric, s’il vous plaît. Veuillez commencer.","Earthworm, please begin."
FEU02,"Hum, bien.","Um, fine."
FEU03,"Tout a vraiment commencé il y a environ 400 000 cycles solaires, quand des primates ont appris à maîtriser le feu.","All of this started approximately 400,000 solar cycles ago, when a group of primates learnt to control fire."
FEU04,"À vrai dire, notre planète connaissait des épisodes froids, nos ancêtres ne sont pas méfiés. Ils ont laissé cette technique se répandre.","In fact, our planet was experiencing cold snaps, our ancestors weren't wary, they allowed the technique to catch on."
FEU05,"Et puis, ces primates, ils n’étaient quand même pas très futés : incapables de manger de la viande sans utiliser des cailloux qui coupent, incapables de se communiquer de belles idées sans les dessiner.","Besides, these primates weren't very bright: unable to eat meat without using sharp stones, unable to communicate beautiful ideas without drawing them."
FEU06,Qui aurait pu prévoir que des êtres aussi frustes feraient tant de mal ?,Could anyone ever have imagined that such simple creatures would cause so much harm?
FEU07,"Qui ? Les douves ? Non, les douves, elles …","Who? The flukes? No, the flukes, they…"
FEU08,"Et voilà, parce que nous ne vivons pas dans le sol, nous sommes discriminés.","Typical, just because we don’t live in the soil, we’re discriminated against."
FEU09,Nous décomposons aussi !,We decompose too!
FEU10,"Allez Lombric, vous nous racontez tout, mais sans digression, s’il vous plaît ?","Come on, Earthworm, give us the full story, but without digressing, please?"
FEU11,"Vous vous dispersez trop, venez-en directement au nœud du problème, Lombric.","You're rambling too much, get straight to the point, Earthworm."
AGRICULTURE00,"Hum, bien.","Um, fine."
AGRICULTURE01,"Donc, pendant les centaines de milliers de cycles solaires suivants, ces primates du genre humain, n’ont pas fait grand-chose d’intéressant.","So, during the next hundreds of thousands of solar cycles, these primates of the human genus did not do much of interest."
AGRICULTURE02,"Mais, en étaient-ils seulement capables ?",But were they even able to do anything?
AGRICULTURE03,"Et puis, il y a environ 10 000 cycles solaires, ils se sont mis à travailler le sol.","And then, about 10,000 solar cycles ago, they started working the soil."
AGRICULTURE04,"Ils l’ont aéré, ont introduit de nouvelles plantes. Notre régime alimentaire a pu se diversifier.",They aerated it and introduced new plants. Our diet became more diversified.
AGRICULTURE05,"À vrai dire dans la mémoire collective des lombrics, cette époque est restée comme une période faste, et…","To tell the truth, in the collective memory of earthworms, this time has been remembered as a golden age, and..."
AGRICULTURE06,Complaisance !,Indulgence!
AGRICULTURE07,"Complaisance, pas de pitié pour les humains !","Indulgence, no mercy for humans!"
AGRICULTURE08,Pas de pitié !,No mercy !
AGRICULTURE09,"Non, non, n’y voyez qu’un acompte factuel de la pensée de l’époque. Ne l’interprétez pas à la lumière des connaissances actuelles !","No, no, consider it only a factual account of contemporary thinking. Don't interpret it through the lens of modern knowledge."
PETROLE00,"Bien, le stade suivant des humains a été bien plus terrible.","Um, fine, the next stage of humans was so much worse."
PETROLE01,"Il y a environ 500 cycles solaires, ils se sont affranchis de toutes les règles ancestrales de notre planète.","Around 500 solar cycles ago, they threw off all the ancestral rules of our planet."
PETROLE02,Ils ont modifié l’air et le sol grâce aux roches noires.,They altered the air and the soil with the black rocks.
PETROLE03,"Et puis, il y a eu le Grand Génocide. Les lombrics des champs décimés par la stérilisation des sols et …",And then came the Great Genocide. Field worms were decimated by soil sterilisation and…
PETROLE04,"Spéciste, il n’y a pas que les lombrics qui ont souffert !","Speciesist, it's not just earthworms who've suffered!"
PETROLE05,Spéciste !,Speciesist !
PETROLE06,"S’il vous plaît, ne prêtez pas de mauvaises intentions à Lombric, laissez-le continuer.","For goodness' sake, don't misinterpret Earthworm's words, let him continue."
PETROLE07,"Lombric, il suffit. Je vous accorde une brève conclusion, puis nous passerons à l’orateur suivant.","Earthworm, enough. I'll let you make a brief closing statement, then we'll move on to the next speaker."
BETON00,"Hum, bien.","Um, fine."
BETON01,De nombreux sols sont devenus une terre hostile pour nous tous.,Many soils turned into hostile territory for all of us.
BETON02,Et ça ne s’est pas arrêté là !,And it wasn't over yet!
BETON03,"Les humains ont commencé à purement et simplement détruire les sols, en répandant dessus ce qu’ils appellent « béton ».","A hundred solar cycles later, humans began to literally destroy the soil by spreading what they call ‘concrete’ over it."
BETON04,Les survivants de leurs produits n’ont eu d’autre choix que l’exil car leur habitat a été systématiquement détruit.,The survivors of their products had no choice but to go into exile because their habitat was methodically destroyed.
BETON05,"Et, ils ont même poussé le vice jusqu’à confisquer des zones immenses pour leurs boîtes à bouger… Je…",And they even went so far as to confiscate huge areas for their moving boxes... I...
BETON06,"À ce propos, je voudrais remercier nos amis des sols forestiers qui ont accueilli quelques-uns d’entre nous, et…","On that note, I’d like to thank our friends in the forest soils who welcomed some of us, and..."
BETON07,Comment ça ‘quelques-uns’ ? Nous vous avons accueillis par centaines de milliards !,"What do you mean, ‘some’? We welcomed you by the hundreds of billions!"
BETON08,On vous accueille et c’est comme ça que vous nous remerciez ?,"We welcome you, and this is your way of saying thank you?"
BETON09,On ne peut pas accueillir toute la misère du monde !,We can't take on all the world’s misery!
BETON10,Bouh !,Boo!
BETON11,"Allons, allons, je vous rappelle que c’est une période de célébration et d’unité.","Come on, come on, I remind you that it's a time for celebration and unity."
BETON12,"Lombric a bientôt fini, n’est-ce pas ? Laissez-le encore nous parler de la Grande Chaleur.","Earthworm is nearly finished, isn't he? Let him have a few more words about the Great Warmth."
BETON13,"Bon, Lombric veuillez conclure, et de manière apaisante s’il vous plaît.","Right, Earthworm, you may conclude, and in a soothing manner."
CLIMAT00,"Hum, bien. La Grande Chaleur.","Um, fine. The Great Warmth."
CLIMAT01,Il y a d’abord eu la petite chaleur causée par les roches noires.,It started with the slight warmth created by the black rocks.
CLIMAT02,"Et puis, les humains, se rendant probablement enfin un peu compte de leur stupidité ont inventé des machines pour réfléchir à leur place.","And then, these humans, realizing at last how dumb they were, invented machines to think on their behalf."
CLIMAT03,"Mais, ces machines se sont mises à transformer toute l’énergie restante des roches noires, toute l’énergie des roches luisantes, toute l’énergie des rivières.","But then, these machines began to transform all the remaining energy of the black rocks, all the energy of the shiny rocks, all the energy of the rivers."
CLIMAT04,"Toute cette énergie, elles l’ont transformée en chaleur.","All that energy, they turned it into heat."
CLIMAT05,Et tout ça pourquoi ?,And the entire point of this?
CLIMAT06,Pour faire des dessins. Des dessins qui ne contenaient même plus les belles idées que s’échangeaient les premiers humains.,To draw pictures. Pictures that no longer even captured the beautiful ideas exchanged by the first humans.
CLIMAT07,Et il s’est mis à faire trop chaud pour les humains.,And it started to get too hot for humans.
CLIMAT08,Certains ont eu la brillante idée d’utiliser leurs petites machines à froid pour rafraîchir des villes entières.,Some came up with the brilliant idea of using their small cooling machines to cool entire cities.
CLIMAT09,Il a fait encore plus chaud.,It got even hotter.
CLIMAT10,"Et puis un jour, il a fait vraiment trop chaud pour eux.","And then one day, it became far too hot for them."
CLIMAT11,Les humains ont décidé d’utiliser tous les restes d’énergie pour leurs machines à froid.,Humans decided to use all their remaining energy for cooling machines.
CLIMAT12,"Le lendemain, ils n’avaient plus de roche noire, plus de roche luisante.","The next day, they had no more black rock, no more shiny rock."
CLIMAT13,Toutes leurs machines se sont arrêtées.,All their machines went down.
CLIMAT14,"Le jour d’après, ils ont voulu se battre, mais ils avaient aussi utilisé une bonne partie de l’énergie de leurs armes pour faire du froid.","The next day, they wanted to fight, but they had already used up most of their weapons' energy to cool them down."
CLIMAT15,"Une semaine après, ils ont commencé à manger leurs chiens et leurs chats. La semaine d’après, ils nous ont même privé de leurs morts,","A week later, they started eating their dogs and their cats. And another week later, they even deprived us of their corpses,"
CLIMAT16,parce qu’ils ne savaient même plus utiliser les pierres qui coupent pour se nourrir.,because they no longer knew how to gather food using their sharp stones.
CLIMAT17,"Un mois après, même les plus résistants d’entre eux ont fini par mourir, enfin !","One month later, even the most resilient among them finally died, at last!"
CLIMAT18,Hourra ! Hourra !,Hooray! Hooray!
CLIMAT19,"Mais, il en reste encore, des humains, et même un, c’est trop !","But there are still some humans left, and even one is too many!"
CLIMAT20,Bouh ! Bouh !,Boo! Boo!
CLIMAT21,"Du calme, du calme, les autres orateurs vont nous en parler. Lombric, votre conclusion ?","Easy, easy, the other speakers will tell us about it. Earthworm, your final thoughts?"
CONCLU_HIST00,"Hum, bien, en conclusion,","Um, fine, in conclusion,"
CONCLU_HIST01,"En à peine 200 cycles solaires, les humains ont causé des dégâts terribles à notre planète et à nos sols.","In just 200 solar cycles, humans have caused tremendous damage to our planet and our soils."
CONCLU_HIST02,"Aujourd’hui, 300 cycles plus tard, nous sommes encore loin d’en avoir fait disparaître tous les effets.","Today, 300 cycles later, we're still far from getting rid of all the effects."
CONCLU_HIST03,"Clap, clap.","Clap, clap."
CONCLU_HIST04,À mort les humains !,Death to humans!
CONCLU_HIST05,"Merci pour cette présentation, Lombric. Et maintenant,","Thank you for that introduction, Earthworm. And now,"
CONCLU_HIST06,La leçon de géographie de Cloporte.,Woodlouse's geography lesson.
CONCLU_HIST07,"On connaît tout ça, place aux actes !","We know all that, now it's time for action!"
GEOGRAPHIE00,"Cloporte, ","Woodlouse,"
GEOGRAPHIE01,"Clap, clap.","Clap, clap."
GEOGRAPHIE02,"Cloporte, à vous la parole.","Woodlouse, over to you."
GEOGRAPHIE03,"Mais, l’intervention de Lombric ayant légèrement débordé, je vous demande de passer directement au cas des humains.","However, as Earthworm's contribution has gone slightly overboard, could you skip straight to the case of humans?"
GEOGRAPHIE04,"Faites-nous un point complet de la situation. Mais, pensez aux plus jeunes d’entre nous et évitez le jargon technique.",Give us a comprehensive overview of the situation. But think of the youngest among us and avoid technical jargon.
CONTINENTS00,"Jargon ? Mais, Acarien, les mots ont un sens ! Je...","Jargon? But, Mite, words have meaning! I..."
CONTINENTS01,"Cloporte, s’il vous plaît. Veuillez commencer.","Woodlouse, please. Proceed."
CONTINENTS02,"Ah oui, commençons.","Alright, let's get started."
CONTINENTS03,"Mon état de lieu des sols de la planète s’articulera en trois points : une présentation morphologique pour commencer, puis un recensement des populations de nuisibles de type primate restantes, et enfin un descriptif de l’état d’altération des ensembles béto-bitumineux…","My assessment of the planet's soils will be divided into three points: first, a morphological presentation, followed by a census of the remaining primate pest populations, and finally a description of the state of deterioration of the asphalt concrete structures..."
CONTINENTS04,"Cloporte, on a dit de faire simple…","Cloporte, remember to keep it simple..."
CONTINENTS05,"Ah oui, simple.","Alright, simple."
CONTINENTS06,"Tout d’abord, je vous rappelle que nos sols sont répartis sur cinq ensembles majeurs séparés par l’eau salée.","First of all, I’d like to remind you that our soils are spread across five major areas separated by salt water."
CONTINENTS07,Des milliers d’îles abritent aussi autant de sols uniques.,Thousands of islands are also host to thousands of unique soils.
CONTINENTS08,"Les humains avaient brisé cet ordre ancestral en nous déportant d’un ensemble à l’autre, mais depuis 300 cycles solaires, nous restaurons petit à petit nos spécificités locales.","Humans had disrupted this ancestral order by deporting us from one area to another, but we have been gradually restoring our local identities for the past 300 solar cycles."
CONTINENTS09,"En particulier, les couloirs d’eau infranchissables réservés à leurs monstrueuses machines flottantes, ces couloirs sont maintenant pleins de bons sédiments.","Notably, the impassable channels reserved for their monstrous floating machines, these channels are now filled with tasty sediment."
CONTINENTS10,Un autre problème concerne le cinquième ensemble qui est apparu lorsque la croûte de glace a disparu à cause de la Grande Chaleur.,"Another problem relates to the fifth landmass, which emerged when the ice crust disappeared due to the great warmth."
CONTINENTS11,"Certaines de nos petites amies les bactéries s’y épanouissent. Mais, malgré leurs efforts, les lichens n’ont pas encore réussi à constituer un sol pouvant nous héberger.","Some of our little bacteria friends thrive there. But despite their efforts, lichens have not yet managed to create soil that can support us all."
CONTINENTS12,Et le débat reste ouvert : faut-il vraiment coloniser ce nouvel ensemble ?,And the question remains: should we really colonise this new area?
CONTINENTS13,Bien sûr qu’il faut coloniser. Laissez faire les jeunes si vous n’en êtes pas capables !,Of course we must colonise! Let the young people do it if you cannot!
CONTINENTS14,Place aux jeunes !,Make way for young ones!
CONTINENTS15,"Chères espèces, je vous en prie ! En ce beau jour de commémoration, laissons les dissensions de côté.","Dear species, On this beautiful day of commemoration, let’s put our disputes aside."
CONTINENTS16,"Cloporte, passons directement à la répartition des humains actuels.","Woodlouse, I think you'd better jump straight to the current human distribution."
CONTINENTS17,"Cloporte, veuillez continuer.","Woodlouse, please continue."
EROSION00,"Ah oui, merci Acarien.",Alright. Thank you Mite.
EROSION01,Revenons aux quatre grands ensembles.,Back to the four major landmasses.
EROSION02,"Pour faire pousser leur nourriture, les humains avaient détruit 60 pour cent des sols forestiers.","In order to grow their food, humans had destroyed 60 per cent of forest soils."
EROSION03,"Avant la Grande Extinction, les humains avaient même provoqué l’érosion de plus de 20 pour cent des sols champêtres, causant ce Grand Génocide que nous ne pouvons oublier.","Before the Great Extinction, humans had even caused the erosion of more than 20 per cent of rural soils, causing the Great Genocide we cannot forget."
EROSION04,Ils semblaient incapables de comprendre l’importance d’avoir des plantes enracinées dedans en permanence…,They seemed unable to understand the importance of having plants permanently rooted in the soil…
EROSION05,"Et comme il faut 100 à 1000 cycles solaires pour reconstituer un sol correct, une grande partie de la planète est encore un No Worms Land.","And since it takes between 100 and 1,000 solar cycles, depending on the region, to restore soil to a healthy state, much of the planet is still a No Worms Land."
EROSION06,Vengeance !,Revenge!
EROSION07,Achevons la Grande Extinction !,Let's finish off the Great Extinction!
REPARTITION00,"S’il vous plaît, retenez votre colère. Cloporte, justement, venons en aux humains actuels.","Please, hold back your anger. Woodlouse, indeed, let's talk about humans today."
REPARTITION01,"Ah oui, les humains.",Alright. Humans.
REPARTITION02,"Comme vous le savez, nous, nous avons réussi à résister à quasiment tous leurs produits, qui ont malheureusement décimé nombre d’entre vous.","As you know, we've managed to resist almost all of their chemicals, which have sadly been devastating for so many of you."
REPARTITION03,"Et, nous pouvons toujours vivre près d’eux et les espionner.",We can still live near them and spy on them.
REPARTITION04,On peut diviser les humains restant en deux catégories : les Bêtes et les Horreurs.,The remaining humans can be divided into two categories: the Beasts and the Horrors.
REPARTITION05,Les Bêtes d’abord forment une centaine de communautés dispersées sur la planète.,The Beasts currently comprise around a hundred communities scattered across the planet.
REPARTITION06,Elles semblent avoir renoncé aux machines.,They seem to have given up on machines.
REPARTITION07,Certains d’entre nous prétendent même que les Bêtes essayent de se faire pardonner.,A few of us even claim that the Beasts are trying to make amends.
REPARTITION08,"Il va sans dire que ces cloportes ont été, euh, rapatriés.","Needless to say that these woodlice were, er, repatriated."
REPARTITION09,"Les Horreurs, elles, vivent dans des gigantesques blocs de béton et de métal souterrains.","As for the Horrors, they live in gigantic underground blocks of concrete and metal."
REPARTITION10,"Heureusement, il ne reste plus que cinq blocs d’Horreurs en activité.","Fortunately, only five blocks of Horrors remain active."
REPARTITION11,"Et, ils n’ont jamais contenu beaucoup d’humains.",And they never contained many humans anyway.
REPARTITION12,"D’ailleurs, même avant la Grande Extinction, les Horreurs vivaient dans des grands blocs biens vides à la surface, restant à l’écart des Bêtes.","Besides, even before the Great Extinction, the Horrors lived in large, empty blocks on the surface, keeping away from the Beasts."
REPARTITION13,Nous pensons qu’il reste moins d’une cinquantaine d’Horreurs en vie.,We estimate that fewer than fifty Horrors are still alive today.
REPARTITION14,"Cependant, les Horreurs restent notre priorité. Leur pouvoir de nuisance a toujours été bien supérieur à celui des autres humains.","However, the Horrors are still our top priority, as their ability to cause harm has always been vastly superior to that of other humans."
REPARTITION15,"N’attendons plus, exterminons-les !","No more waiting, let's exterminate them!"
REPARTITION16,À bas les Horreurs !,Ditch the Horrors!
REPARTITION17,"Allons, allons, du calme.","Come on, come on, stay calm."
REPARTITION18,"Cloporte, veuillez conclure avant que les esprits ne s’échauffent trop.","Woodlouse, you should wrap things up before tempers flare too much."
REPARTITION19,"Cloporte, vous vouliez ensuite nous parler du béton ?","Woodlouse, you were going to talk to us about concrete next, weren't you?"
GRAVATS00,"Ah oui, de la couverture de béton pour être plus précis.","Alright, the concrete overlay, to be more precise."
